,home,score,away,year
710,Uruguay,0–0,France,2010
711,South Africa,0–3,Uruguay,2010
712,France,0–2,Mexico,2010
713,Mexico,0–1,Uruguay,2010
714,France,1–2,South Africa,2010
715,South Korea,2–0,Greece,2010
716,Argentina,1–0,Nigeria,2010
717,Argentina,4–1,South Korea,2010
718,Greece,2–1,Nigeria,2010
719,Nigeria,2–2,South Korea,2010
720,Greece,0–2,Argentina,2010
721,England,1–1,United States,2010
722,Algeria,0–1,Slovenia,2010
723,Slovenia,2–2,United States,2010
724,England,0–0,Algeria,2010
725,Slovenia,0–1,England,2010
726,United States,1–0,Algeria,2010
727,Serbia,0–1,Ghana,2010
728,Germany,4–0,Australia,2010
729,Germany,0–1,Serbia,2010
730,Ghana,1–1,Australia,2010
731,Ghana,0–1,Germany,2010
732,Australia,2–1,Serbia,2010
733,Netherlands,2–0,Denmark,2010
734,Japan,1–0,Cameroon,2010
735,Netherlands,1–0,Japan,2010
736,Cameroon,1–2,Denmark,2010
737,Denmark,1–3,Japan,2010
738,Cameroon,1–2,Netherlands,2010
739,Italy,1–1,Paraguay,2010
740,New Zealand,1–1,Slovakia,2010
741,Slovakia,0–2,Paraguay,2010
742,Italy,1–1,New Zealand,2010
743,Slovakia,3–2,Italy,2010
744,Paraguay,0–0,New Zealand,2010
745,Ivory Coast,0–0,Portugal,2010
746,Brazil,2–1,North Korea,2010
747,Brazil,3–1,Ivory Coast,2010
748,Portugal,7–0,North Korea,2010
749,Portugal,0–0,Brazil,2010
750,North Korea,0–3,Ivory Coast,2010
751,Honduras,0–1,Chile,2010
752,Spain,0–1,Switzerland,2010
753,Chile,1–0,Switzerland,2010
754,Spain,2–0,Honduras,2010
755,Chile,1–2,Spain,2010
756,Switzerland,0–0,Honduras,2010
757,Uruguay,2–1,South Korea,2010
758,United States,1–2 (a.e.t.),Ghana,2010
759,Germany,4–1,England,2010
760,Argentina,3–1,Mexico,2010
761,Netherlands,2–1,Slovakia,2010
762,Brazil,3–0,Chile,2010
763,Paraguay,0–0 (a.e.t.),Japan,2010
764,Spain,1–0,Portugal,2010
765,Netherlands,2–1,Brazil,2010
766,Uruguay,1–1 (a.e.t.),Ghana,2010
767,Argentina,0–4,Germany,2010
768,Paraguay,0–1,Spain,2010
769,Uruguay,2–3,Netherlands,2010
770,Germany,0–1,Spain,2010
771,Uruguay,2–3,Germany,2010
772,Netherlands,0–1 (a.e.t.),Spain,2010
773,Brazil,3–1,Croatia,2014
774,Mexico,1–0,Cameroon,2014
775,Brazil,0–0,Mexico,2014
776,Cameroon,0–4,Croatia,2014
777,Cameroon,1–4,Brazil,2014
778,Croatia,1–3,Mexico,2014
779,Spain,1–5,Netherlands,2014
780,Chile,3–1,Australia,2014
781,Australia,2–3,Netherlands,2014
782,Spain,0–2,Chile,2014
783,Australia,0–3,Spain,2014
784,Netherlands,2–0,Chile,2014
785,Colombia,3–0,Greece,2014
786,Ivory Coast,2–1,Japan,2014
787,Colombia,2–1,Ivory Coast,2014
788,Japan,0–0,Greece,2014
789,Japan,1–4,Colombia,2014
790,Greece,2–1,Ivory Coast,2014
791,Uruguay,1–3,Costa Rica,2014
792,England,1–2,Italy,2014
793,Uruguay,2–1,England,2014
794,Italy,0–1,Costa Rica,2014
795,Italy,0–1,Uruguay,2014
796,Costa Rica,0–0,England,2014
797,Switzerland,2–1,Ecuador,2014
798,France,3–0,Honduras,2014
799,Switzerland,2–5,France,2014
800,Honduras,1–2,Ecuador,2014
801,Honduras,0–3,Switzerland,2014
802,Ecuador,0–0,France,2014
803,Argentina,2–1,Bosnia and Herzegovina,2014
804,Iran,0–0,Nigeria,2014
805,Argentina,1–0,Iran,2014
806,Nigeria,1–0,Bosnia and Herzegovina,2014
807,Nigeria,2–3,Argentina,2014
808,Bosnia and Herzegovina,3–1,Iran,2014
809,Germany,4–0,Portugal,2014
810,Ghana,1–2,United States,2014
811,Germany,2–2,Ghana,2014
812,United States,2–2,Portugal,2014
813,United States,0–1,Germany,2014
814,Portugal,2–1,Ghana,2014
815,Belgium,2–1,Algeria,2014
816,Russia,1–1,South Korea,2014
817,Belgium,1–0,Russia,2014
818,South Korea,2–4,Algeria,2014
819,South Korea,0–1,Belgium,2014
820,Algeria,1–1,Russia,2014
821,Brazil,1–1 (a.e.t.),Chile,2014
822,Colombia,2–0,Uruguay,2014
823,Netherlands,2–1,Mexico,2014
824,Costa Rica,1–1 (a.e.t.),Greece,2014
825,France,2–0,Nigeria,2014
826,Germany,2–1 (a.e.t.),Algeria,2014
827,Argentina,1–0 (a.e.t.),Switzerland,2014
828,Belgium,2–1 (a.e.t.),United States,2014
829,France,0–1,Germany,2014
830,Brazil,2–1,Colombia,2014
831,Argentina,1–0,Belgium,2014
832,Netherlands,0–0 (a.e.t.),Costa Rica,2014
833,Brazil,1–7,Germany,2014
834,Netherlands,0–0 (a.e.t.),Argentina,2014
835,Brazil,0–3,Netherlands,2014
836,Germany,1–0 (a.e.t.),Argentina,2014
837,Russia,5–0,Saudi Arabia,2018
838,Egypt,0–1,Uruguay,2018
839,Russia,3–1,Egypt,2018
840,Uruguay,1–0,Saudi Arabia,2018
841,Uruguay,3–0,Russia,2018
842,Saudi Arabia,2–1,Egypt,2018
843,Morocco,0–1,Iran,2018
844,Portugal,3–3,Spain,2018
845,Portugal,1–0,Morocco,2018
846,Iran,0–1,Spain,2018
847,Iran,1–1,Portugal,2018
848,Spain,2–2,Morocco,2018
849,France,2–1,Australia,2018
850,Peru,0–1,Denmark,2018
851,Denmark,1–1,Australia,2018
852,France,1–0,Peru,2018
853,Denmark,0–0,France,2018
854,Australia,0–2,Peru,2018
855,Argentina,1–1,Iceland,2018
856,Croatia,2–0,Nigeria,2018
857,Argentina,0–3,Croatia,2018
858,Nigeria,2–0,Iceland,2018
859,Nigeria,1–2,Argentina,2018
860,Iceland,1–2,Croatia,2018
861,Costa Rica,0–1,Serbia,2018
862,Brazil,1–1,Switzerland,2018
863,Brazil,2–0,Costa Rica,2018
864,Serbia,1–2,Switzerland,2018
865,Serbia,0–2,Brazil,2018
866,Switzerland,2–2,Costa Rica,2018
867,Germany,0–1,Mexico,2018
868,Sweden,1–0,South Korea,2018
869,South Korea,1–2,Mexico,2018
870,Germany,2–1,Sweden,2018
871,South Korea,2–0,Germany,2018
872,Mexico,0–3,Sweden,2018
873,Belgium,3–0,Panama,2018
874,Tunisia,1–2,England,2018
875,Belgium,5–2,Tunisia,2018
876,England,6–1,Panama,2018
877,England,0–1,Belgium,2018
878,Panama,1–2,Tunisia,2018
879,Colombia,1–2,Japan,2018
880,Poland,1–2,Senegal,2018
881,Japan,2–2,Senegal,2018
882,Poland,0–3,Colombia,2018
883,Japan,0–1,Poland,2018
884,Senegal,0–1,Colombia,2018
885,France,4–3,Argentina,2018
886,Uruguay,2–1,Portugal,2018
887,Spain,1–1 (a.e.t.),Russia,2018
888,Croatia,1–1 (a.e.t.),Denmark,2018
889,Brazil,2–0,Mexico,2018
890,Belgium,3–2,Japan,2018
891,Sweden,1–0,Switzerland,2018
892,Colombia,1–1 (a.e.t.),England,2018
893,Uruguay,0–2,France,2018
894,Brazil,1–2,Belgium,2018
895,Sweden,0–2,England,2018
896,Russia,2–2 (a.e.t.),Croatia,2018
897,France,1–0,Belgium,2018
898,Croatia,2–1 (a.e.t.),England,2018
899,Belgium,2–0,England,2018
900,France,4–2,Croatia,2018
901,Qatar,0–2,Ecuador,2022
902,Senegal,0–2,Netherlands,2022
903,Qatar,1–3,Senegal,2022
904,Netherlands,1–1,Ecuador,2022
905,Ecuador,1–2,Senegal,2022
906,Netherlands,2–0,Qatar,2022
907,England,6–2,Iran,2022
908,United States,1–1,Wales,2022
909,Wales,0–2,Iran,2022
910,England,0–0,United States,2022
911,Wales,0–3,England,2022
912,Iran,0–1,United States,2022
913,Argentina,1–2,Saudi Arabia,2022
914,Mexico,0–0,Poland,2022
915,Poland,2–0,Saudi Arabia,2022
916,Argentina,2–0,Mexico,2022
917,Poland,0–2,Argentina,2022
918,Saudi Arabia,1–2,Mexico,2022
919,Denmark,0–0,Tunisia,2022
920,France,4–1,Australia,2022
921,Tunisia,0–1,Australia,2022
922,France,2–1,Denmark,2022
923,Australia,1–0,Denmark,2022
924,Tunisia,1–0,France,2022
925,Germany,1–2,Japan,2022
926,Spain,7–0,Costa Rica,2022
927,Japan,0–1,Costa Rica,2022
928,Spain,1–1,Germany,2022
929,Japan,2–1,Spain,2022
930,Costa Rica,2–4,Germany,2022
931,Morocco,0–0,Croatia,2022
932,Belgium,1–0,Canada,2022
933,Belgium,0–2,Morocco,2022
934,Croatia,4–1,Canada,2022
935,Croatia,0–0,Belgium,2022
936,Canada,1–2,Morocco,2022
937,Switzerland,1–0,Cameroon,2022
938,Brazil,2–0,Serbia,2022
939,Cameroon,3–3,Serbia,2022
940,Brazil,1–0,Switzerland,2022
941,Serbia,2–3,Switzerland,2022
942,Cameroon,1–0,Brazil,2022
943,Uruguay,0–0,South Korea,2022
944,Portugal,3–2,Ghana,2022
945,South Korea,2–3,Ghana,2022
946,Portugal,2–0,Uruguay,2022
947,Ghana,0–2,Uruguay,2022
948,South Korea,2–1,Portugal,2022
949,Netherlands,3–1,United States,2022
950,Argentina,2–1,Australia,2022
951,France,3–1,Poland,2022
952,England,3–0,Senegal,2022
953,Japan,1–1 (a.e.t.),Croatia,2022
954,Brazil,4–1,South Korea,2022
955,Morocco,0–0 (a.e.t.),Spain,2022
956,Portugal,6–1,Switzerland,2022
957,Croatia,1–1 (a.e.t.),Brazil,2022
958,Netherlands,2–2 (a.e.t.),Argentina,2022
959,Morocco,1–0,Portugal,2022
960,England,1–2,France,2022
961,Argentina,3–0,Croatia,2022
962,France,2–0,Morocco,2022
963,Croatia,2–1,Morocco,2022
964,Argentina,3–3 (a.e.t.),France,2022
